week,n,Jaccard PCoA 3,test-statistic,p-value,q-value
2.0,9,-0.01830995949382932,40.5,0.4823096976815231,0.9759138944020288
3.0,9,-0.049179680719039824,40.0,0.5,0.9759138944020288
5.0,15,-0.04036418072447922,66.0,0.4762257677193332,0.9759138944020288
6.0,14,-0.047054386217838695,59.0,0.41274895535231604,0.9759138944020288
7.0,4,0.08250092890444091,5.0,0.026878352487929663,0.258965426007547
8.0,7,-0.0312772699090651,26.0,0.2983138940016996,0.9573884116353133
9.0,8,-0.049420270730256635,34.0,0.4426169572366008,0.9759138944020288
10.0,10,-0.07048247557409415,33.0,0.17387279945534878,0.8519292701528463
11.0,2,-0.004390513330855262,8.0,0.45309280787746414,0.9759138944020288
12.0,15,-0.03342423984095763,64.0,0.4290138284937606,0.9759138944020288
14.0,15,-0.04981526638469826,58.0,0.2957525184974582,0.9573884116353133
