week,n,Evenness difference from week 1,test-statistic,p-value,q-value
2.0,9,-0.002333104172101419,40.5,0.4823096976815231,0.9341264833567569
3.0,9,0.003890709070604626,34.0,0.29812081529332835,0.9190700642515491
5.0,15,0.01596141973370957,64.0,0.4290138284937606,0.9341264833567569
6.0,14,8.403511246557471e-05,57.0,0.3644957273081506,0.9341264833567569
7.0,4,0.08273889029975146,13.0,0.24372664518201748,0.9190700642515491
8.0,7,0.015957719598802766,28.0,0.37541175944950045,0.9341264833567569
9.0,8,-0.006616688371724135,36.0,0.4808132831530687,0.9341264833567569
10.0,10,-0.04577717794491276,28.0,0.08895479749349122,0.6411283259675883
11.0,2,-0.009108669827570083,8.0,0.45309280787746414,0.9341264833567569
12.0,15,-0.035129359951102224,48.0,0.12861949259051314,0.7476063603932785
14.0,15,0.019391958349704086,56.0,0.25593996366852434,0.9190700642515491
