week,n,Bray-Curtis PCoA 1,test-statistic,p-value,q-value
2.0,29,-0.09251549522666154,420.5,0.496896611801727,0.983657015192757
3.0,30,-0.06823207462241239,429.0,0.4667704078301548,0.983657015192757
4.0,30,-0.049147191196489595,421.0,0.4189085452991913,0.983657015192757
5.0,30,-0.08731946084753152,407.0,0.3383560550168496,0.983657015192757
6.0,28,0.050693262381286824,385.0,0.371747148303382,0.983657015192757
7.0,23,-0.03868548130809008,301.0,0.2777374941840849,0.9798469471624284
8.0,27,-0.07846953674326067,372.0,0.3776917709050641,0.983657015192757
9.0,24,-0.018127502606430018,324.0,0.33727532977854535,0.983657015192757
10.0,24,-0.037639825415932526,330.0,0.3772544917915525,0.983657015192757
11.0,27,-0.042914359976403346,371.0,0.37147625423697506,0.983657015192757
12.0,27,-0.05792754076751306,361.0,0.31138831434541575,0.9834910948671091
13.0,23,-0.12936706869726952,293.0,0.2305703207483023,0.9668719291236811
14.0,25,-0.05964103944113128,360.0,0.48616136635382623,0.983657015192757
