week,n,unweighted UniFrac PCoA 1,test-statistic,p-value,q-value
2.0,29,-0.030824998527036747,420.5,0.496896611801727,0.9337444223668598
3.0,30,0.061509462786632,305.0,0.024795565243022184,0.1819773279462723
4.0,30,-0.024661026262857683,421.0,0.4189085452991913,0.9337444223668598
5.0,30,0.06391444502202567,250.0,0.002575930845241108,0.02797309697892625
6.0,28,-0.02987712969594866,397.0,0.4460369193521982,0.9337444223668598
7.0,23,0.04463731860369811,177.0,0.002025372879833933,0.02403555316315098
8.0,27,-0.04312725003286856,361.0,0.31138831434541575,0.8933781214202656
9.0,24,0.09693163141401515,177.0,0.001157279541041553,0.014940610953463773
10.0,24,0.008347295093120507,228.0,0.0163686320323859,0.15214087374456686
11.0,27,0.033858285336164334,265.0,0.019411423072304586,0.16173474072462868
12.0,27,-0.03852246399972744,388.0,0.4803831844358339,0.9337444223668598
13.0,23,-0.028946886494152228,324.0,0.43414999877975397,0.9337444223668598
14.0,25,-0.010088175323964544,319.0,0.2278493222239975,0.8363506069302771
