week,n,unweighted UniFrac PCoA 3,test-statistic,p-value,q-value
2.0,29,-0.010796937232514984,420.5,0.496896611801727,0.9894012491867686
3.0,30,-0.019826564738561293,425.0,0.4427349833567105,0.9894012491867686
4.0,30,-0.021894010076418016,423.0,0.430790272097647,0.9894012491867686
5.0,30,-0.02973524172573621,420.0,0.41299459923611626,0.9894012491867686
6.0,28,-0.02038896303098896,392.0,0.41469163677076015,0.9894012491867686
7.0,23,0.009713588553172283,311.0,0.3426162086018595,0.9894012491867686
8.0,27,-0.03420610634894107,355.0,0.2774938441571867,0.9853802424002783
9.0,24,0.004875462923218035,318.0,0.2990544363145546,0.9859326757811616
10.0,24,-0.00500823023283676,336.0,0.41859534421467376,0.9894012491867686
11.0,27,-0.008915982607115326,378.0,0.41559917782032035,0.9894012491867686
12.0,27,-0.022650112447912655,369.0,0.359146694312751,0.9894012491867686
13.0,23,0.004945929952976894,321.0,0.4125107981724901,0.9894012491867686
14.0,25,-0.03205543653975513,338.0,0.33857942832653615,0.9894012491867686
