week,n,unweighted UniFrac PCoA 1,test-statistic,p-value,q-value
2.0,9,0.06146074608532428,40.5,0.4823096976815231,0.9160855909317657
3.0,9,0.12289909706501695,34.0,0.29812081529332835,0.9160855909317657
5.0,15,0.004287117185258594,66.0,0.4762257677193332,0.9160855909317657
6.0,14,0.024345596419496678,59.0,0.41274895535231604,0.9160855909317657
7.0,4,-0.07621777966308832,10.0,0.1235799866059536,0.7656660845481833
8.0,7,-0.05955541111863107,21.0,0.1449109849143067,0.7656660845481833
9.0,8,0.1133320126437654,24.0,0.13423604548186385,0.7656660845481833
10.0,10,-0.0775092398875213,36.0,0.24383417672946522,0.8931101774947797
11.0,2,0.025238327230298785,7.0,0.36183680491588155,0.9160855909317657
12.0,15,0.07346185713593353,62.0,0.382797241997882,0.9160855909317657
14.0,15,0.023368102845353532,60.0,0.33819316300045466,0.9160855909317657
