week,n,unweighted UniFrac PCoA 3,test-statistic,p-value,q-value
2.0,9,-0.04686054029654822,40.5,0.4823096976815231,0.8767755655580659
3.0,9,0.027224895710082107,25.0,0.09266315209928971,0.6568736801841
5.0,15,-0.03868923832409876,62.0,0.382797241997882,0.8767755655580659
6.0,14,-0.024053599131168717,51.0,0.2344003087186471,0.861746398114512
7.0,4,-0.01252489607316512,14.0,0.2945772327250291,0.8767755655580659
8.0,7,-0.0648771521726719,28.0,0.37541175944950045,0.8767755655580659
9.0,8,-0.0038206500267084446,26.0,0.18032218807446937,0.8329722568941167
10.0,10,0.0030408359859802952,30.0,0.11822235778615192,0.7158217539983744
11.0,2,-0.058688628759512675,9.0,0.45309280787746414,0.8767755655580659
12.0,15,-0.007718057026955932,54.0,0.21911953777497112,0.861746398114512
14.0,15,-0.0056943947531619896,58.0,0.2957525184974582,0.8767755655580659
