week,n,Jaccard distance to week 1,test-statistic,p-value,q-value
2.0,29,0.4897959183673469,420.5,0.496896611801727,0.8529221765965542
3.0,30,0.5502354788069074,323.0,0.0454605650985033,0.2779668692228512
4.0,30,0.5342717258261934,379.0,0.20003707047948505,0.7379288750856172
5.0,30,0.7535310734463276,125.0,1.3485956833193382e-06,1.618302816586148e-05
6.0,28,0.7424469787915167,107.5,9.83054866041372e-07,1.2779637880155903e-05
7.0,23,0.5978260869565217,204.0,0.008733481580535432,0.06776908818294025
8.0,27,0.5533333333333333,344.0,0.22045037504198473,0.7379288750856172
9.0,24,0.6222084367245657,166.0,0.0005910996586971266,0.006402152907168501
10.0,24,0.59296875,199.5,0.0040887620585478715,0.03620271823762644
11.0,27,0.6519337016574586,193.0,0.0005837145341470017,0.006402152907168501
12.0,27,0.4666666666666667,376.0,0.40285679813398884,0.8529221765965542
13.0,23,0.4841269841269841,329.0,0.470625120285374,0.8529221765965542
14.0,25,0.4897959183673469,344.5,0.38072036491704264,0.8529221765965542
