week,n,Faith PD difference from week 1,test-statistic,p-value,q-value
2.0,9,0.7348951444600971,40.5,0.4823096976815231,0.9508211619424526
3.0,9,0.37395220216009584,36.0,0.36196601980698784,0.932537434450216
5.0,15,0.032263186229998915,65.0,0.4525358909893909,0.9508211619424526
6.0,14,1.251403585923497,49.0,0.19754579245207504,0.8620307425391166
7.0,4,5.289781519643499,5.0,0.026878352487929663,0.258965426007547
8.0,7,1.2500475723799982,31.0,0.5,0.9508211619424526
9.0,8,0.5667041789999976,35.0,0.4808132831530687,0.9508211619424526
10.0,10,-0.45204373290000177,38.0,0.2978054497378648,0.9158213062903504
11.0,2,2.0363133109950526,3.0,0.09742532430443474,0.6412173445662065
12.0,15,-0.3489933198199981,54.0,0.21911953777497112,0.8620307425391166
14.0,15,0.2619391978200962,65.0,0.4525358909893909,0.9508211619424526
