week,n,unweighted UniFrac PCoA 2,test-statistic,p-value,q-value
2.0,9,0.08217158523653444,40.5,0.4823096976815231,0.716244221496193
3.0,9,-0.018628852319002465,22.0,0.05598067713187416,0.4379061437686176
5.0,15,0.05088492723825831,59.0,0.3166711503495331,0.716244221496193
6.0,14,0.022715758755956682,39.0,0.06938848571079434,0.4379061437686176
7.0,4,-0.1384019845877501,3.0,0.012630150816006215,0.13048220626298024
8.0,7,0.022746854504165494,21.0,0.1449109849143067,0.664404127734823
9.0,8,0.017150188141106935,19.0,0.056175598845231926,0.4379061437686176
10.0,10,0.06042274047259723,37.0,0.2701456873037099,0.716244221496193
11.0,2,0.01531053548776395,4.0,0.14442218317324246,0.664404127734823
12.0,15,0.03675719577204665,54.0,0.21911953777497112,0.7096493623245184
14.0,15,0.09175734473773037,65.0,0.4525358909893909,0.716244221496193
