week,n,Jaccard PCoA 2,test-statistic,p-value,q-value
2.0,29,-0.03571598858514143,420.5,0.496896611801727,0.8763960400294738
3.0,30,0.01677153509911223,374.0,0.1794930868286489,0.8314455584892307
4.0,30,-0.009621364153743405,410.0,0.35514447756561374,0.8763960400294738
5.0,30,0.03943431823864285,338.0,0.07171601130338402,0.6199408647213216
6.0,28,-0.02681629266484087,398.0,0.45235322440210585,0.8763960400294738
7.0,23,0.028693960419353876,254.0,0.0727632882321966,0.6199408647213216
8.0,27,0.01648535544544418,358.0,0.2942155850011495,0.8763960400294738
9.0,24,0.04083142799863883,285.0,0.13204336921443527,0.7577293300100737
10.0,24,0.038360996337068895,282.0,0.12092212614431447,0.7577293300100737
11.0,27,0.009777586024995937,337.0,0.18795587109549866,0.8314455584892307
12.0,27,0.005550465863847882,359.0,0.29989116268560123,0.8763960400294738
13.0,23,-0.03294171225716599,316.0,0.37705971888613643,0.8763960400294738
14.0,25,0.013028798818057566,322.0,0.24387076888942227,0.8586902285170672
