week,n,unweighted UniFrac distance to week 1,test-statistic,p-value,q-value
2.0,29,0.34004688171099634,420.5,0.496896611801727,0.8351394131760184
3.0,30,0.38747884469729615,316.0,0.03619223599817693,0.22743871061896392
4.0,30,0.3717886304692133,388.0,0.24039541608413262,0.747106373450604
5.0,30,0.5283018469117058,137.0,3.23095586934901e-06,4.200161206402431e-05
6.0,28,0.5044415305691045,127.0,4.383716728397136e-06,5.260333243906068e-05
7.0,23,0.42903543388604376,186.0,0.0033807862294004285,0.026728412600189877
8.0,27,0.38184792691387803,334.0,0.17498537215183058,0.6846666584298982
9.0,24,0.4328551448007508,193.0,0.00288397179894247,0.025658329833600058
10.0,24,0.44600948618545466,175.0,0.0010269573325427557,0.011238703723318921
11.0,27,0.4570769699936237,212.0,0.001667112346473035,0.016546610986311383
12.0,27,0.3542770250118137,366.0,0.3409277416755585,0.8113172806527693
13.0,23,0.3335170260352379,327.0,0.4559883883024834,0.8351394131760184
14.0,25,0.3267823236490045,355.0,0.45167386390054254,0.8351394131760184
