week,n,weighted UniFrac distance to week 1,test-statistic,p-value,q-value
2.0,29,0.391152954606044,420.5,0.496896611801727,0.9420739905015156
3.0,30,0.2912359262388301,414.0,0.37796865701138066,0.9420739905015156
4.0,30,0.2969753201311137,343.0,0.08267219200892739,0.6449457564931443
5.0,30,0.5541708029845154,343.0,0.08267219200892739,0.6449457564931443
6.0,28,0.5788783760999625,274.0,0.017905909977440973,0.20933908886461638
7.0,23,0.4251394379281136,323.0,0.42691161774320624,0.9420739905015156
8.0,27,0.3056842983919145,327.0,0.14699078819512912,0.7960436589421531
9.0,24,0.3589172966823979,342.0,0.4608561775528186,0.9420739905015156
10.0,24,0.4437058706067217,317.0,0.2928800124575558,0.9116000961427957
11.0,27,0.4620777621951242,332.0,0.16666190183995627,0.8061833269864271
12.0,27,0.2789160145276345,332.0,0.16666190183995627,0.8061833269864271
13.0,23,0.38873836106514464,323.0,0.42691161774320624,0.9420739905015156
14.0,25,0.3597524058667179,351.0,0.42433174848062294,0.9420739905015156
