week,n,Jaccard PCoA 1,test-statistic,p-value,q-value
2.0,29,-0.04793115468253196,420.5,0.496896611801727,0.9585038420182184
3.0,30,-0.006811461824564749,367.0,0.15305173312849957,0.7352383559471017
4.0,30,-0.07689561367130276,418.0,0.40122703180924385,0.9585038420182184
5.0,30,0.04584883477642829,313.0,0.032724540702830776,0.30649137937752036
6.0,28,-0.04757822667784216,401.0,0.4713682528554865,0.9585038420182184
7.0,23,0.054642371042075484,230.0,0.028867968021351862,0.29637809656426906
8.0,27,-0.10105397106418565,385.0,0.46081377154310477,0.9585038420182184
9.0,24,0.0811598957125467,222.0,0.012464471417026297,0.1504567773414549
10.0,24,0.01039760153163845,262.0,0.06328602350857868,0.4799201798419811
11.0,27,-0.01855968934961244,320.0,0.1221698190877864,0.6904758246263637
12.0,27,-0.057798554901638516,370.0,0.365294070613556,0.9585038420182184
13.0,23,-0.05007804078175544,318.0,0.39113435950416353,0.9585038420182184
14.0,25,-0.05130544631940041,361.0,0.4930796420519104,0.9585038420182184
