week,n,Bray-Curtis PCoA 3,test-statistic,p-value,q-value
2.0,29,0.07933634256579439,420.5,0.496896611801727,0.49689661180172706
3.0,30,0.025518035794012628,288.0,0.013167786108716755,0.11245606134444874
4.0,30,0.05992035139148555,346.0,0.08982498774762548,0.25086933735206607
5.0,30,0.04305275066244398,337.0,0.06966492804893594,0.25086933735206607
6.0,28,0.03864279539961329,291.0,0.033797551133126755,0.163514942174788
7.0,23,-0.01836210392254743,176.0,0.001910295475356888,0.020813688494284777
8.0,27,-0.015574306425590071,258.0,0.014597598384993124,0.11245606134444874
9.0,24,0.008595121284621605,206.0,0.005729206911724066,0.05583733940727553
10.0,24,-0.016253738093148448,184.0,0.0017417141538023954,0.020701512196172667
11.0,27,-0.03838669972531621,204.0,0.0010836472057631384,0.013996181912084071
12.0,27,-0.032286020883513004,257.0,0.014001724475301194,0.11245606134444874
13.0,23,0.0757907172359455,274.0,0.13851163592798477,0.25783779856852296
14.0,25,0.00026625667386597765,253.0,0.0293193671909354,0.163514942174788
