subject-id,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,week min,week max,week count
01cd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
7313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
edc8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
e77e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
e5db,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.0,14.0,14
d886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
cde0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
bf44,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.0,14.0,14
b8c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
0966,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1.0,14.0,14
82ea,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
8e99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
4216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
415f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
1464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
2fa8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
3543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
4004,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.0,14.0,14
f34d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
684e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,14
5840,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,13
c4cb,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,14.0,13
6a07,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,14.0,13
e327,1,2,1,2,2,2,1,1,1,1,1,1,0,0,1.0,12.0,12
8d46,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.0,12.0,12
eee6,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1.0,14.0,12
9c72,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1.0,14.0,11
7aa9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1.0,7.0,7
5a38,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.0,6.0,6
b1fe,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,6.0,5
ac98,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,4.0,4
ab06,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1.0,5.0,4
